country_code,country_name,continent,sub_region,longitude,latitude
CYM,Cayman Islands,Americas,Latin America and the Caribbean,-81.2546,19.3133
CAF,Central African Republic,Africa,Sub-Saharan Africa,20.939444,6.611110999999999
TCD,Chad,Africa,Sub-Saharan Africa,18.732207,15.454166
CHI,Channel Islands,Europe,Western Europe,-119.778533,34.0069361
CHL,Chile,Americas,Latin America and the Caribbean,-71.542969,-35.675147
CHN,China,Asia,Eastern Asia,104.195397,35.86166
COL,Colombia,Americas,Latin America and the Caribbean,-74.297333,4.570868
COM,Comoros,Africa,Sub-Saharan Africa,43.3333,-11.6455
COD,Democratic Republic of Republic of the Congo,Africa,Sub-Saharan Africa,21.758664,-4.038333
COG,Republic of the Congo,Africa,Sub-Saharan Africa,15.827659,-0.228021
CRI,Costa Rica,Americas,Latin America and the Caribbean,-83.753428,9.748916999999999
CIV,Cote d'Ivoire,Africa,Sub-Saharan Africa,-5.547079999999999,7.539988999999999
HRV,Croatia,Europe,Southern Europe,15.2000001,45.1
CUB,Cuba,Americas,Latin America and the Caribbean,-77.781167,21.521757
CUW,Curacao,Americas,Latin America and the Caribbean,-68.99002,12.16957
CYP,Cyprus,Asia,Western Asia,33.429859,35.126413
CZE,Czech Republic,Europe,Eastern Europe,15.472962,49.81749199999999
DNK,Denmark,Europe,Northern Europe,9.501785,56.26392
DJI,Djibouti,Africa,Sub-Saharan Africa,42.590275,11.825138
DMA,Dominica,Americas,Latin America and the Caribbean,-61.37097600000001,15.414999
DOM,Dominican Republic,Americas,Latin America and the Caribbean,-70.162651,18.735693
ECU,Ecuador,Americas,Latin America and the Caribbean,-78.18340599999999,-1.831239
EGY,Egypt,Africa,Northern Africa,30.802498,26.820553
SLV,El Salvador,Americas,Latin America and the Caribbean,-88.89653,13.794185
GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa,10.267895,1.650801
ERI,Eritrea,Africa,Sub-Saharan Africa,39.782334,15.179384
EST,Estonia,Europe,Northern Europe,25.0136071,58.595272
SWZ,Swaziland,Africa,Sub-Saharan Africa,31.465866,-26.522503
ETH,Ethiopia,Africa,Sub-Saharan Africa,40.489673,9.145000000000001
FRO,Faeroe Islands,Europe,Northern Europe,-6.9118061,61.89263500000001
FJI,Fiji,Oceania,Melanesia,178.065032,-17.713371
FIN,Finland,Europe,Northern Europe,25.7481511,61.92410999999999
FRA,France,Europe,Western Europe,2.213749,46.227638
PYF,French Polynesia,Oceania,Polynesia,-149.406843,-17.679742
GAB,Gabon,Africa,Sub-Saharan Africa,11.609444,-0.803689
GMB,Gambia,Africa,Sub-Saharan Africa,-15.310139,13.443182
GEO,Georgia,Asia,Western Asia,-82.9000751,32.1656221
DEU,Germany,Europe,Western Europe,10.451526,51.165691
GHA,Ghana,Africa,Sub-Saharan Africa,-1.023194,7.946527
GRC,Greece,Europe,Southern Europe,21.824312,39.074208
GRL,Greenland,Americas,Northern America,-42.604303,71.706936
GRD,Grenada,Americas,Latin America and the Caribbean,-61.67899999999999,12.1165
GUM,Guam,Oceania,Micronesia,144.793731,13.444304
GTM,Guatemala,Americas,Latin America and the Caribbean,-90.23075899999999,15.783471
GIN,Guinea,Africa,Sub-Saharan Africa,-9.696645,9.945587
GNB,Guinea-Bissau,Africa,Sub-Saharan Africa,-15.180413,11.803749
GUY,Guyana,Americas,Latin America and the Caribbean,-58.93018,4.860416
HTI,Haiti,Americas,Latin America and the Caribbean,-72.285215,18.971187
HND,Honduras,Americas,Latin America and the Caribbean,-86.241905,15.199999
HKG,Hong Kong,Asia,Eastern Asia,114.1693611,22.3193039
HUN,Hungary,Europe,Eastern Europe,19.5033041,47.162494
ISL,Iceland,Europe,Northern Europe,-19.020835,64.963051
IND,India,Asia,Southern Asia,78.96288,20.593684
IDN,Indonesia,Asia,South-eastern Asia,113.921327,-0.789275
IRN,Iran,Asia,Southern Asia,53.688046,32.427908
IRQ,Iraq,Asia,Western Asia,43.679291,33.223191
IRL,Ireland,Europe,Northern Europe,-7.692053599999999,53.1423672
IMN,Isle of Man,Europe,Northern Europe,-4.548056,54.236107
